starttime	seconds	ctime	dtime	ttime	wait
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	2	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
Mon Jan 06 14:04:58 2014	1388988298	0	2	3	2
